text,kategoria,ocena
"Laptop działa świetnie, bateria trzyma cały dzień pracy. Ekran jest ostry i kolory dobrze odwzorowane. Polecam!",elektronika,5
"Koszulka po dwóch praniach się skurczyła i kolory wyblakły. Materiał cienki jak papier. Nie polecam.",odzież,1
"Świetny ekspres do kawy. Robi pyszne cappuccino i jest bardzo cichy. Wart swojej ceny.",agd,5
"Buty wyglądają ładnie na zdjęciu, ale w rzeczywistości są niewygodne i skóra pęka po tygodniu noszenia.",obuwie,2
"Telefon za tę cenę to prawdziwa okazja. Szybki procesor, dobry aparat i ładny design.",elektronika,5
"Odkurzacz bezprzewodowy - moc ssania tragiczna, bateria ledwo na 15 minut. Pieniądze wyrzucone w błoto.",agd,1
"Bardzo wygodne spodnie do biegania. Materiał oddychający i szybkoschnący. Idealne na trening.",odzież,5
"Słuchawki bluetooth - dźwięk przeciętny, zasięg kiepski, etui ładujące się nie domyka. Oddaję.",elektronika,1
"Plecak turystyczny rewelacyjny. Pojemny, dobrze wyprofilowany, wodoodporny. Sprawdził się w górach.",sport,5
"Krem do twarzy wywołał u mnie alergię. Skład niby naturalny, a skóra czerwona jak burak.",kosmetyki,1
"Genialna patelnia żeliwna. Nic się nie przykleja, równomiernie się nagrzewa. Będzie służyć latami.",agd,5
"Monitor do komputera - martwe piksele po dwóch dniach użytkowania. Serwis nie chce uznać reklamacji.",elektronika,1
"Rewelacyjne okulary przeciwsłoneczne. Lekkie, eleganckie i naprawdę chronią przed słońcem. Super zakup!",akcesoria,5
"Drukarka laserowa - ciągle się zacina papier, toner kończy się po 200 stronach. Koszmar.",elektronika,1
"Najlepsza poduszka jaką miałem. Pianki memory foam idealnie dopasowują się do głowy. Śpię jak niemowlę.",dom,5
"Torba podróżna rozeszła się przy zamku po pierwszej podróży. Szycie fatalne, materiał tandetny.",akcesoria,1
"Smartwatch z pulsometrem - dokładne pomiary, ładna tarcza, aplikacja działa bez problemów.",elektronika,5
"Parasol składany - połamał się przy pierwszym mocniejszym wietrze. Za takie pieniądze oczekuję więcej.",akcesoria,1
"Fantastyczny blender kielichowy. Kręci smoothie w 30 sekund, łatwy do czyszczenia. Używam codziennie.",agd,5
"Fotel biurowy po miesiącu zaczął skrzypieć, a oparcie się obluzowało. Jakość wykonania poniżej krytyki.",meble,1
"Rower miejski - jeździ jak marzenie. Lekka rama, dobre hamulce i wygodne siodełko. Ideał do miasta.",sport,5
"Tablet dla dziecka - ekran ciemny, dotyk reaguje co trzecie kliknięcie, aplikacje się zawieszają.",elektronika,1
"Piękna lampa stojąca do salonu. Ciepłe światło, solidna konstrukcja, wygląda jak z designerskiego sklepu.",dom,5
"Walizka kabinowa - kółka się zablokowały na lotnisku. Zamek szyfrowy też przestał działać po tygodniu.",akcesoria,1
"Zestaw garnków ze stali nierdzewnej - gotowanie to teraz czysta przyjemność. Równomierne nagrzewanie.",agd,5
